LAST_UPDATE,FREQUENCY,DESTINATION,PURPOSE,DURATION,UNIT,COUNTRY,TIME_PERIOD,OBS_VALUE
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RO,2016,16768435
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RO,2017,17270735
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RO,2018,17831849
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RO,2019,18751902
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RO,2020,11409029
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RO,2021,16956911
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RO,2022,17879468
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,RS,2018,1548475
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SE,2014,32223146
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SE,2015,35254954
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SE,2016,35049431
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SE,2017,48302587
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SE,2018,44870473
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SE,2019,44927054
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SE,2020,47682692
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SE,2021,50402910
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SE,2022,65222248
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SI,2012,4054317
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SI,2013,4216638
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SI,2014,4044835
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SI,2015,3869157
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SI,2016,4055686
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SI,2017,4288161
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SI,2018,4575093
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SI,2019,4305022
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SI,2020,2252926
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SI,2021,4962591
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SI,2022,5412733
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SK,2012,5969134
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SK,2013,5733000
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SK,2014,5983576
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SK,2015,6984050
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SK,2016,8315679
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SK,2017,9321385
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SK,2018,10740338
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SK,2019,12053384
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,SK,2020,4994776
